run,model,train_frac,seed,num_train,num_val,num_test,accuracy,num_incorrect,params_M,latency_ms,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,best_val_loss,checkpoint,confusion_matrix_png
resnet50_train80_seed0,resnet50,0.8,0,5056,562,1405,0.9836298932384342,23,24.559172,6.175324096679687,0.9836544554622367,0.9836298932384342,0.9836075444347413,0.9831432304557571,0.9830197043893854,0.9830459050726505,0.02687661648572733,results/checkpoints/resnet50_train80_seed0.pth,results/metrics/confusion_resnet50_train80_seed0.png
densenet121_train80_seed0,densenet121,0.8,0,5056,562,1405,0.9871886120996441,18,7.480708,16.631849365234373,0.9872933849108977,0.9871886120996441,0.9871952115744165,0.9867383963484648,0.9867553703192001,0.9866976095083665,0.02973589629659222,results/checkpoints/densenet121_train80_seed0.pth,results/metrics/confusion_densenet121_train80_seed0.png
efficientnet_b0_train80_seed0,efficientnet_b0,0.8,0,5056,562,1405,0.9907473309608541,13,4.665472,8.562677612304688,0.9908551070684318,0.9907473309608541,0.9907315691466347,0.9902936253233526,0.9903557612600166,0.9902498941375282,0.029523702108741015,results/checkpoints/efficientnet_b0_train80_seed0.pth,results/metrics/confusion_efficientnet_b0_train80_seed0.png
resnet50_train85_seed0,resnet50,0.85,0,5372,597,1054,0.99146110056926,9,24.559172,6.304369506835937,0.9914688456027573,0.99146110056926,0.9914573070202658,0.9913373531230674,0.9913620043590803,0.9913414331237203,0.007930653295357172,results/checkpoints/resnet50_train85_seed0.pth,results/metrics/confusion_resnet50_train85_seed0.png
densenet121_train85_seed0,densenet121,0.85,0,5372,597,1054,0.9895635673624289,11,7.480708,16.92612548828125,0.9895555772893306,0.9895635673624289,0.9895577284517109,0.9895880701993602,0.9895316639176288,0.9895579613811547,0.011749000264803487,results/checkpoints/densenet121_train85_seed0.pth,results/metrics/confusion_densenet121_train85_seed0.png
efficientnet_b0_train85_seed0,efficientnet_b0,0.85,0,5372,597,1054,0.9867172675521821,14,4.665472,8.88573974609375,0.9867055014877364,0.9867172675521821,0.9866987245724549,0.9861870760933216,0.9859906438049713,0.9860758814691065,0.010794928415347576,results/checkpoints/efficientnet_b0_train85_seed0.pth,results/metrics/confusion_efficientnet_b0_train85_seed0.png
resnet50_train90_seed0,resnet50,0.9,0,5688,632,703,0.9928876244665719,5,24.559172,6.3255859375,0.992898445033068,0.9928876244665719,0.9928816904019453,0.9930555174419881,0.9924908810325477,0.992762378454704,0.036761191149707884,results/checkpoints/resnet50_train90_seed0.pth,results/metrics/confusion_resnet50_train90_seed0.png
densenet121_train90_seed0,densenet121,0.9,0,5688,632,703,0.9928876244665719,5,7.480708,17.113681640625,0.9929115735894886,0.9928876244665719,0.99289150965663,0.9926853515852601,0.9924628226711559,0.9925658914217748,0.028039946145145222,results/checkpoints/densenet121_train90_seed0.pth,results/metrics/confusion_densenet121_train90_seed0.png
efficientnet_b0_train90_seed0,efficientnet_b0,0.9,0,5688,632,703,0.9957325746799431,3,4.665472,8.65122314453125,0.9957497129342405,0.9957325746799431,0.99573699462394,0.9954447419306857,0.9955211840628506,0.9954786783840158,0.030040558608016,results/checkpoints/efficientnet_b0_train90_seed0.pth,results/metrics/confusion_efficientnet_b0_train90_seed0.png
resnet50_train80_seed1,resnet50,0.8,1,5056,562,1405,0.9857651245551602,20,24.559172,6.45444580078125,0.9858734565191499,0.9857651245551602,0.9857620158290432,0.9854910693982968,0.9853329638413859,0.9853543613208755,0.045140603007490024,results/checkpoints/resnet50_train80_seed1.pth,results/metrics/confusion_resnet50_train80_seed1.png
